Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-01-03,2017,1,3,Tuesday,01,2017-01,58.1,58.91,57.75,58.32,3004100,58.32,0.0,58.32,58.32
2017-01-04,2017,1,4,Wednesday,01,2017-01,58.36,59.46,58.04,58.82,5540600,58.82,0.008573388247880454,58.57,58.57
2017-01-05,2017,1,5,Thursday,01,2017-01,58.77,59.42,57.08,57.61,5427200,57.61,-0.020571218815887304,58.25,58.25
2017-01-06,2017,1,6,Friday,01,2017-01,57.87,58.14,56.64,56.77,4776100,56.77,-0.014580804438265482,57.88,57.88
2017-01-09,2017,1,9,Monday,02,2017-02,56.57,56.99,56.27,56.67,3329700,56.67,-0.0017615340498853271,57.638,57.638
2017-01-10,2017,1,10,Tuesday,02,2017-02,55.72,58.84,55.3,58.74,5457800,58.74,0.0365273262114878,57.821666666666665,57.821666666666665
2017-01-11,2017,1,11,Wednesday,02,2017-02,58.54,58.94,57.28,57.46,4718200,57.46,-0.021790986677199364,57.769999999999996,57.769999999999996
2017-01-12,2017,1,12,Thursday,02,2017-02,57.4,57.5,56.57,57.15,2286300,57.15,-0.005395015028420325,57.6925,57.6925
2017-01-13,2017,1,13,Friday,02,2017-02,57.25,57.85,56.69,57.19,1973700,57.19,0.0006998617631177595,57.63666666666667,57.63666666666667
2017-01-17,2017,1,17,Tuesday,03,2017-03,57.25,58.14,56.89,57.05,4114900,57.05,-0.002447969802591543,57.577999999999996,57.577999999999996
2017-01-18,2017,1,18,Wednesday,03,2017-03,57.54,58.85,57.39,58.66,5317500,58.66,0.028220869971645524,57.67636363636364,57.67636363636364
2017-01-19,2017,1,19,Thursday,03,2017-03,58.52,60.64,58.44,60.07,6036400,60.07,0.02403681982747763,57.87583333333333,57.87583333333333
2017-01-20,2017,1,20,Friday,03,2017-03,60.54,60.73,59.51,59.62,3911100,59.62,-0.00749127293533558,58.01,58.01
2017-01-23,2017,1,23,Monday,04,2017-04,60.77,60.86,60.11,60.24,3560500,60.24,0.0103992411554783,58.169285714285714,58.169285714285714
2017-01-24,2017,1,24,Tuesday,04,2017-04,60.01,60.57,59.62,60.22,3903000,60.22,-0.00033201290183271226,58.305,58.306000000000004
2017-01-25,2017,1,25,Wednesday,04,2017-04,60.2,60.99,59.84,60.74,4003100,60.74,0.008635012408217957,58.44214285714286,58.458125
2017-01-26,2017,1,26,Thursday,04,2017-04,61.11,63.64,61.1,63.37,12440100,63.37,0.04329926211296664,58.853571428571435,58.747058823529414
2017-01-27,2017,1,27,Friday,04,2017-04,63.68,63.68,61.68,62.42,6294900,62.42,-0.014991333106389892,59.25714285714286,58.9511111111111
2017-01-30,2017,1,30,Monday,05,2017-05,61.91,62.08,60.59,61.13,5359500,61.13,-0.02066640721998403,59.575714285714284,59.06578947368421
2017-01-31,2017,1,31,Tuesday,05,2017-05,61.25,62.62,61.19,62.27,4502200,62.27,0.018648770975452367,59.827857142857134,59.226
2017-02-01,2017,2,1,Wednesday,05,2017-05,62.26,63.65,62.24,63.26,8937500,63.26,0.01589847208112727,60.24214285714286,59.41809523809523
2017-02-02,2017,2,2,Thursday,05,2017-05,62.89,62.96,60.42,61.15,6004400,61.15,-0.03335436060130392,60.527857142857144,59.496818181818185
2017-02-03,2017,2,3,Friday,05,2017-05,61.25,61.71,60.81,61.36,5141000,61.36,0.0034341631926826377,60.825714285714284,59.57782608695652
2017-02-06,2017,2,6,Monday,06,2017-06,61.13,61.38,60.89,60.96,3761900,60.96,-0.00651892962679379,61.105000000000004,59.635416666666664
2017-02-07,2017,2,7,Tuesday,06,2017-06,61.03,62.05,60.61,61.89,3369800,61.89,0.015255910747096202,61.33571428571428,59.72560000000001
2017-02-08,2017,2,8,Wednesday,06,2017-06,61.5,62.62,61.33,61.89,5555100,61.89,0.0,61.465714285714284,59.808846153846154
2017-02-09,2017,2,9,Thursday,06,2017-06,61.71,62.42,61.71,62.25,3171500,62.25,0.005816781610952448,61.653571428571425,59.89925925925926
2017-02-10,2017,2,10,Friday,06,2017-06,62.16,62.54,61.4,62.39,3829700,62.39,0.0022489861790913057,61.80714285714286,59.988214285714285
2017-02-13,2017,2,13,Monday,07,2017-07,60.59,61.0,60.03,60.9,11670100,60.9,-0.023881998370667512,61.855714285714285,60.01965517241379
2017-02-14,2017,2,14,Tuesday,07,2017-07,61.24,62.84,59.51,61.6,17976400,61.6,0.011494202474604753,61.91714285714285,60.07233333333333
2017-02-15,2017,2,15,Wednesday,07,2017-07,61.47,61.8,60.73,61.3,9362400,61.3,-0.004870117605385693,61.769285714285715,60.111935483870965
2017-02-16,2017,2,16,Thursday,07,2017-07,61.19,61.4,60.32,60.61,3852100,60.61,-0.011256095192442195,61.64,60.1275
2017-02-17,2017,2,17,Friday,07,2017-07,60.54,65.41,59.89,63.92,13430300,63.92,0.054611409425203705,61.839285714285715,60.24242424242424
2017-02-21,2017,2,21,Tuesday,08,2017-08,63.41,63.61,62.33,63.2,5579100,63.2,-0.011264039840909401,61.90571428571429,60.329411764705874
2017-02-22,2017,2,22,Wednesday,08,2017-08,63.27,63.47,62.62,63.08,2655100,63.08,-0.0018987172537366925,61.892857142857146,60.40800000000001
2017-02-23,2017,2,23,Thursday,08,2017-08,63.22,63.35,61.95,62.07,5342200,62.07,-0.016011447478006202,61.95857142857143,60.454166666666666
2017-02-24,2017,2,24,Friday,08,2017-08,62.1,62.58,61.72,62.21,4570800,62.21,0.0022555081414010747,62.019285714285715,60.501621621621624
